index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,37.86,34.94,35.4,45.47,45.39,44.0,35.76,42.91,63.62,38.68,38.97,66.28,35.5,37.16,61.87,63.79,36.27,35.01,36.14,39.08,67.54
1,36.65,47.45,37.67,36.32,35.09,33.96,32.29,34.08,63.71,41.57,37.97,66.92,40.46,26.27,62.5,63.78,34.82,40.64,36.24,39.25,67.54
2,36.72,34.72,42.06,36.13,31.73,35.02,50.6,34.66,63.86,33.07,36.4,66.84,43.45,30.88,62.54,63.79,34.65,36.11,36.65,33.71,67.57
3,45.05,32.93,37.8,42.0,30.6,35.5,42.02,45.08,63.64,30.66,38.17,66.75,36.18,43.47,100.0,63.79,35.19,38.67,38.85,34.77,67.58
4,40.3,43.77,36.18,35.2,40.87,40.02,36.14,35.6,64.08,48.1,37.61,66.79,40.34,30.39,62.53,63.79,43.03,38.89,36.49,40.26,67.55
5,36.91,32.31,40.99,36.43,29.9,38.17,51.52,48.79,63.66,36.53,36.36,66.78,44.27,32.91,62.79,63.78,38.4,38.41,36.76,33.59,67.54
6,40.55,35.4,39.32,42.13,44.65,33.21,48.53,33.46,63.46,32.16,38.48,66.74,36.93,39.95,62.47,63.79,37.58,39.96,36.72,34.71,67.56
7,40.12,39.88,35.65,35.77,39.46,41.6,49.68,55.05,63.48,35.34,37.12,66.9,36.56,30.18,62.59,63.79,37.04,37.29,42.52,42.41,67.52
8,35.68,32.46,40.89,40.16,36.94,33.15,22.43,60.94,63.63,44.67,36.88,66.75,43.99,36.48,62.52,63.79,43.12,39.94,37.15,32.76,67.52
9,42.44,40.23,38.62,39.16,29.59,40.51,38.61,50.7,63.53,37.32,38.79,66.77,37.72,45.57,62.68,63.79,38.33,35.91,36.31,32.09,67.42
10,37.93,37.11,35.66,35.04,29.05,33.36,39.24,55.24,63.73,34.68,36.59,66.66,35.21,31.28,62.43,63.78,37.74,41.93,36.27,45.55,67.46
11,38.04,32.54,39.4,42.03,34.59,36.82,37.18,42.82,63.49,46.38,37.92,66.77,43.34,35.85,62.62,63.79,37.39,36.2,38.93,34.88,67.43
12,39.9,42.73,41.7,36.38,51.77,33.78,53.0,54.25,63.64,38.03,40.43,66.71,43.77,38.41,62.55,63.79,44.09,39.05,38.54,32.71,67.36
13,37.59,34.35,36.63,35.07,47.76,36.7,85.23,37.88,63.72,34.11,38.04,66.92,34.43,32.07,62.53,63.77,32.67,38.02,36.52,42.31,67.31
14,38.89,31.49,36.35,45.31,35.76,33.98,63.58,45.12,63.03,38.78,34.08,66.73,37.57,48.27,62.61,63.78,40.13,39.54,36.38,35.37,67.23
15,38.55,44.89,42.64,36.04,29.85,36.61,19.06,38.28,63.45,40.53,42.25,66.75,44.27,33.48,62.45,63.79,42.97,37.13,37.19,32.22,67.16
16,41.29,33.03,35.43,41.34,27.58,34.59,21.27,34.94,63.7,31.09,40.47,66.91,41.07,34.35,62.48,63.79,38.29,39.35,38.38,44.16,67.14
17,35.01,31.98,38.36,37.36,28.62,36.2,44.27,45.23,63.5,37.58,37.91,66.7,34.89,51.21,62.16,63.79,43.65,36.99,36.79,34.91,67.06
18,44.22,45.49,40.91,35.0,41.1,36.23,29.59,32.93,63.37,38.22,40.68,66.77,41.83,39.79,62.18,63.79,39.5,36.69,36.6,32.41,67.04
19,42.09,34.5,35.45,44.84,50.48,37.05,42.23,53.15,63.33,33.68,36.74,66.76,43.46,27.67,63.89,63.79,37.59,45.55,36.44,44.63,66.99
20,37.88,36.88,36.77,34.98,41.41,35.6,34.05,28.19,63.73,28.57,40.23,66.75,36.01,43.16,62.34,63.79,37.7,37.82,37.31,33.47,67.0
21,38.57,40.59,41.39,38.28,32.49,39.74,30.13,49.28,63.66,43.99,37.67,66.82,38.7,43.8,61.91,63.79,44.38,38.46,41.29,31.18,66.98
22,45.51,32.45,36.08,40.88,28.36,33.98,45.48,28.55,63.42,34.16,37.29,66.84,44.77,31.43,62.26,63.78,37.4,38.74,36.41,44.2,66.91
23,36.57,41.33,36.39,34.75,45.05,38.55,31.65,51.29,63.39,30.17,39.89,66.87,40.44,30.44,62.02,63.79,36.6,35.78,36.06,33.93,66.92
24,33.85,37.29,42.35,40.94,47.01,36.14,39.62,30.93,63.47,45.14,35.82,66.87,35.56,45.45,61.77,63.79,38.2,40.88,36.06,32.81,66.92
25,39.8,32.47,35.62,36.48,39.66,35.38,37.38,43.91,63.41,36.8,40.33,66.87,39.65,33.32,62.44,63.8,36.47,35.86,42.36,46.14,66.9
26,44.46,44.27,36.34,34.88,32.23,37.7,34.25,34.24,63.59,32.17,36.58,66.77,43.1,30.79,62.41,63.8,37.79,40.47,37.92,34.16,66.95
27,38.89,35.62,41.19,44.63,29.89,35.65,40.34,31.4,63.39,43.38,38.39,66.87,36.39,49.65,62.4,63.8,40.03,36.26,36.46,35.27,66.85
28,37.02,32.38,36.28,36.47,29.6,44.54,43.29,45.96,63.34,32.56,36.46,66.88,36.86,43.89,62.36,63.8,36.72,36.81,36.43,42.49,66.85
29,39.95,45.04,34.95,35.52,29.88,33.3,34.38,26.95,63.64,29.91,37.64,67.02,44.49,30.29,62.29,63.8,39.66,39.78,40.61,32.07,66.86
30,40.91,31.75,41.79,45.02,29.97,44.44,36.92,51.33,63.39,45.79,38.2,67.15,44.85,38.16,62.22,63.79,39.73,36.9,37.66,38.18,66.84
31,36.11,42.56,37.02,35.15,31.2,34.14,46.82,30.13,63.59,37.41,35.8,66.94,39.02,50.19,62.3,63.8,36.45,39.49,36.3,41.09,66.81
32,43.29,40.64,35.15,36.32,32.06,50.7,34.41,46.48,63.6,35.61,39.71,66.86,34.36,32.95,61.99,63.8,36.29,39.95,36.31,31.86,66.75
33,35.97,34.62,41.61,44.07,41.25,32.73,44.06,33.44,63.5,37.2,35.32,67.06,38.06,40.42,62.29,63.8,44.22,45.33,40.86,39.82,66.79
34,38.43,43.73,37.71,36.04,52.34,49.09,37.65,37.3,63.2,50.85,39.22,66.99,43.05,43.45,62.17,63.81,37.03,35.15,42.1,43.57,66.77
