section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,1,1690309135336364117,1690309135544738117,208,636.368,933.586,5.970306399789704,-30.403329557594695
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,2,1690309135764314117,1690309136233140117,468,674.53,403.112,8.331185320352116,9.383072411720754
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,3,1690309136412443117,1690309137348270117,935,640.7,429.589,5.748708520961057,7.415396388655561
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,4,1690309137644258117,1690309138452262117,808,626.919,942.54,5.211019039557389,-31.092659144155313
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,5,1690309138480278117,1690309139388325117,908,622.136,931.082,4.780376658484681,-30.230575082737168
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,6,1690309139580303117,1690309139668287117,87,483.705,303.922,-6.2529189476481415,16.833861587242144
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,7,1690309139700277117,1690309140600320117,900,497.118,294.357,-5.229524210997927,17.561426991912963
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,8,1690309140656332117,1690309140912303117,255,341.243,464.966,-16.805373946959875,4.704282201424653
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,9,1690309140956400117,1690309141228301117,271,329.81,394.353,-17.808883951736803,9.916334320726321
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,10,1690309141280351117,1690309142432311117,1151,510.457,361.42,-4.128568221933848,12.53626969062165
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,11,1690309142612292117,1690309142692281117,79,610.257,976.37,3.898210125309155,-33.678557258326926
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,12,1690309142720272117,1690309143280276117,560,656.614,853.879,7.36364414529875,-24.371761721589642
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,13,1690309143300301117,1690309144420337117,1120,647.479,839.88,6.595472726196947,-23.331872776751727
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,14,1690309144440332117,1690309147416264117,2975,632.569,913.003,5.592241822848619,-28.852772400912805
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,15,1690309147796356117,1690309148052301117,255,273.085,333.785,-22.377703216256798,14.273619983235452
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,16,1690309148084276117,1690309149652274117,1567,446.568,319.049,-9.088605795891063,15.665982285640688
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,17,1690309149720312117,1690309149920281117,199,723.212,384.255,12.054222437553223,10.753562886738779
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,18,1690309149960291117,1690309150488306117,528,757.145,450.72,14.508179130054561,5.779411273677808
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,19,1690309150580349117,1690309151128297117,547,314.821,260.395,-19.567849996012132,19.780901596740687
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,20,1690309151236309117,1690309151552261117,315,692.189,428.737,9.636711489751539,7.456680556136826
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,21,1690309151576295117,1690309151704292117,127,731.857,428.209,12.63228059742562,7.470996924323349
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,22,1690309152196281117,1690309152328234117,131,641.614,1026.954,6.8122193881662465,-37.499792747454244
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,23,1690309152416282117,1690309152716291117,300,547.689,969.317,-1.4338624510864844,-33.160129735901236
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,24,1690309152788296117,1690309155224263117,2435,671.003,929.42,8.829315809505896,-30.03298353713517
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,25,1690309155376306117,1690309155552297117,175,1005.455,451.585,33.2973470525378,5.477224046306045
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,26,1690309155596464117,1690309155920280117,323,887.499,457.684,24.325704846761248,5.1651604182466615
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,27,1690309156092295117,1690309156348321117,256,279.479,434.315,-21.517381985920107,6.912371556749381
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,28,1690309156476437117,1690309156608269117,131,123.836,491.203,-33.2006344407798,2.6592690951769895
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,29,1690309156712268117,1690309156776281117,64,176.64,477.85,-29.207210560675865,3.650330800129873
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,30,1690309156968285117,1690309158488312117,1520,258.848,435.491,-23.074766801812167,6.803232241875538
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,31,1690309158788332117,1690309158860443117,72,685.935,1006.917,10.571195869575822,-35.87013847615143
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,32,1690309158896266117,1690309159232249117,335,597.313,957.593,2.7611820458315113,-32.261113689979815
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,33,1690309159300401117,1690309159652316117,351,685.08,866.389,9.692010323868063,-25.266319252069334
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,34,1690309159888257117,1690309160316302117,428,342.165,414.133,-16.823312705199022,8.467892331301428
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,35,1690309160388265117,1690309160732340117,344,168.978,490.394,-29.769211071981132,2.7431280973205174
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,36,1690309160768287117,1690309160896364117,128,238.86,588.521,-24.514060585379806,-4.369516094359974
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,37,1690309160928262117,1690309162140302117,1212,279.237,590.466,-21.47153695817821,-4.542917649798763
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,38,1690309162568267117,1690309162676259117,107,320.811,556.002,-18.30837420294561,-2.02814667173419
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,39,1690309162728285117,1690309163216309117,488,207.314,451.998,-26.935616040893304,5.5448576015943285
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,40,1690309163252312117,1690309163612480117,360,185.12,493.051,-28.542792586454567,2.5604247906864694
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,41,1690309163788268117,1690309164048474117,260,221.332,454.559,-25.868328750303178,5.373516103431492
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,42,1690309164076411117,1690309164272396117,195,227.794,509.691,-25.304545828930546,1.3709566699538118
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,43,1690309164536280117,1690309164816259117,279,406.673,542.053,-11.85490880189504,-1.009329135633158
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,44,1690309164872294117,1690309165180299117,308,229.515,515.712,-25.17193963103072,0.9334720554755087
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,45,1690309165308294117,1690309166076304117,768,243.583,461.522,-24.172002214214746,4.887226372670159
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,46,1690309166236296117,1690309166852311117,616,225.319,467.442,-25.540995685944303,4.441096140575236
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,47,1690309166900332117,1690309167236295117,335,369.561,557.481,-14.646538792499056,-2.150963304800847
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,48,1690309167408394117,1690309167576273117,167,242.734,475.015,-24.213509602517846,3.9027325057970974
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,49,1690309167800317117,1690309167888307117,87,260.202,488.237,-22.879599503926034,2.9472700331510246
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,50,1690309167932289117,1690309168356301117,424,316.281,543.586,-18.64343301163027,-1.110954802538588
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,51,1690309168572288117,1690309168708342117,136,123.745,513.73,-33.184688309689015,1.0566103308717705
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,52,1690309168752296117,1690309169180352117,428,99.586,415.605,-35.285749544069326,7.991376784515002
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,53,1690309169352293117,1690309169500342117,148,484.32,512.466,-6.025732271602691,1.2023016929356967
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,54,1690309169520353117,1690309169868291117,347,440.587,557.94,-9.312309607607608,-2.1998951762407004
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,55,1690309170108254117,1690309170752297117,644,400.286,565.93,-12.34271652193397,-2.7874438181112273
